country,totalCases,totalNewCases,estimate,lower,upper,population,propCurrentlyInfMid,propCurrentlyInfLow,propCurrentlyInfHigh
Afghanistan,30175,3865,0.4527520090703084,0.3544744614726711,0.5669012719336944,38928341,4.4e-4,2.3e-4,0.00093000000000000005
Albania,2192,520,0.6708564085419055,0.2822804557427042,0.9999981668923954,2877800,5.4e-4,2.3e-4,0.0021
Algeria,12445,1298,0.16253352485042524,0.12346732079125372,0.21176030294863102,43851043,3.6e-4,1.8e-4,8e-4
Andorra,855,1,0.3667805005364289,0.1743863154001673,0.8054807139481497,77265,7.1e-5,2.1e-5,2.5e-4
Argentina,52444,18298,0.6330790771808971,0.5392254125865621,0.7312717296174175,45195777,0.0013,7.2e-4,0.0025
Armenia,23247,5758,0.5759128920716433,0.4799550949951114,0.685303341122838,2963234,0.0067,0.0037,0.013
Australia,7558,211,0.9201759182624751,0.6985182634482139,0.9999964608329102,25499881,1.8e-5,1.1e-5,3.9e-5
Austria,17431,333,0.42572850915090593,0.24588984822436574,0.6726872106730277,9006400,1.7e-4,7.1e-5,5e-4
Azerbaijan,14852,4190,0.7983976005886925,0.6353330483910711,0.9696218685121234,10139175,0.001,5.5e-4,0.0022
Bahamas,104,0,0.5948143882616442,0.17447030112549067,0.9972308663084793,393248,0,0,0
Bahrain,24081,4528,0.9903839313532283,0.9459778511857345,0.9999999999999989,1701583,0.0054,0.0035,0.0094
Bangladesh,126606,32125,0.9498381654389627,0.8578524989010023,0.9973867233696249,164689383,4.1e-4,2.5e-4,7.6e-4
Belarus,60382,5013,0.9877618765180874,0.8771660349884359,1,9449321,0.0011,6.9e-4,0.002
Belgium,61007,852,0.33694601164482146,0.25543108953287685,0.43506200151748103,11589616,4.4e-4,2.2e-4,9.6e-4
Bolivia,28503,8620,0.33786913613960207,0.2802073861332467,0.399078093463542,11673029,0.0044,0.0024,0.0088
Bosnia and Herzegovina,3796,712,0.6851930659166069,0.35456098656710533,0.9942520005395101,3280815,6.3e-4,2.8e-4,0.002
Brazil,1228114,304925,0.3472257243076905,0.30737571624107285,0.3876349778287967,212559409,0.0083,0.0048,0.016
Bulgaria,4408,955,0.23873316263380664,0.1829790062346744,0.3206481563839151,6948445,0.0012,5.6e-4,0.0025
Burkina Faso,941,46,0.6447887095981122,0.2692616770755679,0.9910049005428898,20903278,6.8e-6,2.9e-6,2.7e-5
Cameroon,12592,2728,0.7512460614573667,0.5071998738252737,0.9754751866834518,26545864,2.7e-4,1.4e-4,6.8e-4
Canada,102611,3155,0.311777665925389,0.26282500821522714,0.36653047169889896,37742157,5.4e-4,3e-4,0.0011
Central African Republic,3244,834,0.3734818454314813,0.24954014068653674,0.5471936550442654,4829764,9.2e-4,4.1e-4,0.0023
Chad,863,10,0.6744664921756472,0.21785065782939175,0.9932813833261354,16425859,1.8e-6,8e-7,9.3e-6
Chile,259064,74615,0.7961022408669978,0.7233705899335354,0.920471573358932,19116209,0.0098,0.0055,0.018
China,84701,279,0.7523377616692737,0.24693800944347277,1,1439323774,5.2e-7,2.5e-7,2.6e-6
Colombia,80599,25668,0.288513431902093,0.24813073269225808,0.3318634399538968,50882884,0.0035,0.002,0.0068
