k,lambda,Sensitisation,Screening,97.5%,75%,50%,25%,2.5%
0.1,0.1,0%,Exit and entry,<1,4,8,12,30
0.1,0.1,0%,Exit only,<1,4,7,11,28
0.1,0.1,25%,No screening,<1,1,3,6,∞
0.1,0.1,25%,Exit and entry,<1,8,13,19,∞
0.1,0.1,25%,Exit only,<1,7,12,18,∞
0.1,0.1,50%,No screening,<1,9,∞,∞,∞
0.1,0.1,50%,Exit and entry,4,19,∞,∞,∞
0.1,0.1,50%,Exit only,3,17,∞,∞,∞
0.1,1,0%,Exit and entry,<1,4,7,10,19
0.1,1,0%,Exit only,<1,3,6,9,19
0.1,1,25%,No screening,<1,1,3,5,∞
0.1,1,25%,Exit and entry,<1,7,11,16,∞
0.1,1,25%,Exit only,<1,6,10,14,∞
0.1,1,50%,No screening,<1,8,∞,∞,∞
0.1,1,50%,Exit and entry,2,16,∞,∞,∞
0.1,1,50%,Exit only,2,15,∞,∞,∞
0.1,10,0%,Exit and entry,<1,1,3,5,10
0.1,10,0%,Exit only,<1,1,2,4,9
0.1,10,25%,No screening,<1,<1,1,2,∞
0.1,10,25%,Exit and entry,<1,2,5,8,∞
0.1,10,25%,Exit only,<1,2,4,8,∞
0.1,10,50%,No screening,<1,3,∞,∞,∞
0.1,10,50%,Exit and entry,<1,7,∞,∞,∞
0.1,10,50%,Exit only,<1,7,∞,∞,∞
0.1,100,0%,Exit and entry,<1,<1,<1,1,3
0.1,100,0%,Exit only,<1,<1,<1,1,2
0.1,100,25%,No screening,<1,<1,<1,<1,∞
0.1,100,25%,Exit and entry,<1,<1,1,2,∞
0.1,100,25%,Exit only,<1,<1,1,2,∞
0.1,100,50%,No screening,<1,<1,∞,∞,∞
0.1,100,50%,Exit and entry,<1,1,∞,∞,∞
0.1,100,50%,Exit only,<1,1,∞,∞,∞
0.54,0.1,0%,Exit and entry,<1,<1,6,13,41
0.54,0.1,0%,Exit only,<1,<1,5,12,41
0.54,0.1,25%,No screening,<1,<1,1,7,∞
0.54,0.1,25%,Exit and entry,<1,4,12,22,∞
0.54,0.1,25%,Exit only,<1,3,10,20,∞
0.54,0.1,50%,No screening,<1,10,∞,∞,∞
0.54,0.1,50%,Exit and entry,<1,22,∞,∞,∞
0.54,0.1,50%,Exit only,<1,20,∞,∞,∞
0.54,1,0%,Exit and entry,<1,<1,4,9,23
0.54,1,0%,Exit only,<1,<1,3,8,21
0.54,1,25%,No screening,<1,<1,1,4,∞
0.54,1,25%,Exit and entry,<1,3,8,14,∞
0.54,1,25%,Exit only,<1,2,7,13,∞
0.54,1,50%,No screening,<1,6,∞,∞,∞
0.54,1,50%,Exit and entry,<1,14,∞,∞,∞
0.54,1,50%,Exit only,<1,14,∞,∞,∞
0.54,10,0%,Exit and entry,<1,<1,1,3,8
0.54,10,0%,Exit only,<1,<1,1,2,7
0.54,10,25%,No screening,<1,<1,<1,1,∞
0.54,10,25%,Exit and entry,<1,<1,2,5,∞
0.54,10,25%,Exit only,<1,<1,2,4,∞
0.54,10,50%,No screening,<1,2,∞,∞,∞
0.54,10,50%,Exit and entry,<1,5,∞,∞,∞
0.54,10,50%,Exit only,<1,4,∞,∞,∞
0.54,100,0%,Exit and entry,<1,<1,<1,<1,1
0.54,100,0%,Exit only,<1,<1,<1,<1,1
0.54,100,25%,No screening,<1,<1,<1,<1,∞
0.54,100,25%,Exit and entry,<1,<1,<1,1,∞
0.54,100,25%,Exit only,<1,<1,<1,1,∞
0.54,100,50%,No screening,<1,<1,∞,∞,∞
0.54,100,50%,Exit and entry,<1,1,∞,∞,∞
0.54,100,50%,Exit only,<1,1,∞,∞,∞
2,0.1,0%,Exit and entry,<1,<1,5,13,32
2,0.1,0%,Exit only,<1,<1,4,12,31
2,0.1,25%,No screening,<1,<1,<1,4,28
2,0.1,25%,Exit and entry,<1,1,9,18,47
2,0.1,25%,Exit only,<1,<1,8,17,46
2,0.1,50%,No screening,<1,<1,12,40,∞
2,0.1,50%,Exit and entry,<1,10,23,53,∞
2,0.1,50%,Exit only,<1,9,21,53,∞
2,1,0%,Exit and entry,<1,<1,3,7,17
2,1,0%,Exit only,<1,<1,2,7,17
2,1,25%,No screening,<1,<1,<1,2,18
2,1,25%,Exit and entry,<1,<1,5,11,28
2,1,25%,Exit only,<1,<1,4,10,27
2,1,50%,No screening,<1,<1,7,28,∞
2,1,50%,Exit and entry,<1,6,14,38,∞
2,1,50%,Exit only,<1,5,13,37,∞
2,10,0%,Exit and entry,<1,<1,<1,2,5
2,10,0%,Exit only,<1,<1,<1,1,5
2,10,25%,No screening,<1,<1,<1,<1,7
2,10,25%,Exit and entry,<1,<1,1,3,13
2,10,25%,Exit only,<1,<1,1,3,13
2,10,50%,No screening,<1,<1,1,12,∞
2,10,50%,Exit and entry,<1,1,4,18,∞
2,10,50%,Exit only,<1,1,4,18,∞
2,100,0%,Exit and entry,<1,<1,<1,<1,1
2,100,0%,Exit only,<1,<1,<1,<1,1
2,100,25%,No screening,<1,<1,<1,<1,1
2,100,25%,Exit and entry,<1,<1,<1,<1,3
2,100,25%,Exit only,<1,<1,<1,<1,3
2,100,50%,No screening,<1,<1,<1,2,∞
2,100,50%,Exit and entry,<1,<1,1,5,∞
2,100,50%,Exit only,<1,<1,<1,4,∞
