"","country","iso_code","total_cases","total_new_cases","new_cases_per_hundred_thousand_pop","estimate","lower","upper","population","prevalence_mid","prevalence_low","prevalence_high"
"1","Afghanistan","AFG",33342,2768,7.11050080454238,0.152682265436691,0.120667182468559,0.1920755145188,38928341,0.00093,0.00046,0.002
"2","Albania","ALB",2926,634,22.0307179095142,0.397593363511596,0.251582923217394,0.614955310703441,2877800,0.0011,0.00045,0.0029
"3","Algeria","DZA",16387,3436,7.83561750173194,0.606757322485469,0.450391010570352,0.779290812025216,43851043,0.00026,0.00013,0.00058
"4","Angola","AGO",257,109,0.331647024846265,0.267969228846361,0.152471110914879,0.486447198830685,32866268,0.000025,0.0000085,0.000073
"5","Argentina","ARG",77771,20071,44.4090163556653,0.708160580085417,0.610936674771543,0.807595123901012,45195777,0.0013,0.00069,0.0024
"6","Armenia","ARM",28607,4291,144.808003687863,0.675066257457714,0.522095344503736,0.832956208303603,2963234,0.0043,0.0022,0.0092
"7","Australia","AUS",8460,945,3.70589964713953,0.953986890685532,0.820031204131271,0.999999626826181,25499881,0.000078,0.000046,0.00015
"8","Austria","AUT",18224,764,8.48285663528158,0.905190930207214,0.650487298463688,0.999971177706141,9006400,0.00019,0.00011,0.00043
"9","Azerbaijan","AZE",20672,4947,48.7909519265621,0.881788763226822,0.749976143637484,0.994227314226434,10139175,0.0011,0.00061,0.0022
"10","Bahamas","BHS",56,0,0,0.618270882821759,0.171395475820687,0.998172780195039,393248,0,0,0
"11","Bahrain","BHR",26900,4554,267.633139259149,0.99032621584563,0.945016880268533,0.999999999999999,1701583,0.0054,0.0033,0.0094
"12","Bangladesh","BGD",165585,31640,19.2119245476802,0.986160683817854,0.912451783950446,0.999999993891434,164689383,0.00039,0.00024,0.0007
"13","Belarus","BLR",63723,2709,28.6687265677608,0.441271859068058,0.281152603797148,0.65963840159807,9449321,0.0013,0.00054,0.0034
"14","Belgium","BEL",62057,849,7.3255231234581,0.661713673573489,0.442427868940911,0.864999833005165,11589616,0.00022,0.00011,0.00055
"15","Benin","BEN",938,75,0.618648643699459,0.648221357605211,0.379281202747753,0.965907300136472,12123198,0.000019,0.000008,0.000054
"16","Bolivia","BOL",40490,9833,84.236919140696,0.366660131675358,0.305587488956186,0.438899217430311,11673029,0.0046,0.0024,0.0092
"17","Bosnia & Herzegovina","BIH",5427,1350,41.1483122333932,0.661847391357577,0.453869092501647,0.892897948627263,3280815,0.0012,0.00058,0.003
"18","Brazil","BRA",1623271,309617,145.661394833856,0.484692101516983,0.43216772037088,0.540032689685013,212559409,0.006,0.0034,0.011
"19","Bulgaria","BGR",5822,1289,18.5509131899295,0.58974148406932,0.429615108722095,0.771346745933378,6948445,0.00063,0.0003,0.0014
"20","Burkina Faso","BFA",980,59,0.282252381659948,0.79889044793276,0.395051980029827,0.999857895815089,20903278,0.0000071,0.0000035,0.000024
"21","Cameroon","CMR",13965,1445,5.44340918796239,0.970231055540642,0.765961365724187,1,26545864,0.00011,0.000068,0.00024
"22","Canada","CAN",105878,2902,7.68901470045816,0.450969604093162,0.347165413667773,0.575347850434126,37742157,0.00034,0.00017,0.00074
"23","Cape Verde","CPV",766,372,66.907918875947,0.822843100035849,0.537018941328993,0.99973577259492,555988,0.0016,0.00084,0.0042
