k,lambda,Sensitisation,Screening,97.5%,75%,50%,25%,2.5%
0.54,0.1,0%,Exit and entry,<1,<1,6,13,41
0.54,0.1,0%,Exit only,<1,<1,5,12,41
0.54,0.1,25%,Exit and entry,<1,4,12,22,∞
0.54,0.1,25%,Exit only,<1,3,10,20,∞
0.54,0.1,25%,No screening,<1,<1,1,7,∞
0.54,1,0%,Exit and entry,<1,<1,4,9,23
0.54,1,0%,Exit only,<1,<1,3,8,21
0.54,1,25%,Exit and entry,<1,3,8,14,∞
0.54,1,25%,Exit only,<1,2,7,13,∞
0.54,1,25%,No screening,<1,<1,1,4,∞
0.54,10,0%,Exit and entry,<1,<1,1,3,8
0.54,10,0%,Exit only,<1,<1,1,2,7
0.54,10,25%,Exit and entry,<1,<1,2,5,∞
0.54,10,25%,Exit only,<1,<1,2,4,∞
0.54,10,25%,No screening,<1,<1,<1,1,∞
0.54,100,0%,Exit and entry,<1,<1,<1,<1,1
0.54,100,0%,Exit only,<1,<1,<1,<1,1
0.54,100,25%,Exit and entry,<1,<1,<1,1,∞
0.54,100,25%,Exit only,<1,<1,<1,1,∞
0.54,100,25%,No screening,<1,<1,<1,<1,∞
